arm,nfe,K,gruppe,n_komplexe,ziel,regel,anteil_prozent
SigmaDock,25,40,frag=9,8,RMSD<2 & PB,Orakel,25.0
SigmaDock,25,40,frag=10,3,RMSD<2 & PB,Orakel,33.33
SigmaDock,25,40,frag=11,2,RMSD<2 & PB,Orakel,50.0
SigmaDock,25,40,frag=12,1,RMSD<2 & PB,Orakel,100.0
SigmaDock,25,40,frag=13,1,RMSD<2 & PB,Orakel,0.0
SigmaDock,25,40,frag=14,2,RMSD<2 & PB,Orakel,0.0
SigmaDock,5,40,alle,307,RMSD<2,je Zug,7.04
SigmaDock,5,40,frag=1,14,RMSD<2,je Zug,16.79
SigmaDock,5,40,frag=2,49,RMSD<2,je Zug,18.42
SigmaDock,5,40,frag=3,52,RMSD<2,je Zug,9.47
SigmaDock,5,40,frag=4,56,RMSD<2,je Zug,5.4
SigmaDock,5,40,frag=5,61,RMSD<2,je Zug,2.99
SigmaDock,5,40,frag=6,25,RMSD<2,je Zug,1.4
SigmaDock,5,40,frag=7,18,RMSD<2,je Zug,0.69
SigmaDock,5,40,frag=8,15,RMSD<2,je Zug,0.0
SigmaDock,5,40,frag=9,8,RMSD<2,je Zug,0.0
SigmaDock,5,40,frag=10,3,RMSD<2,je Zug,0.0
SigmaDock,5,40,frag=11,2,RMSD<2,je Zug,0.0
SigmaDock,5,40,frag=12,1,RMSD<2,je Zug,0.0
SigmaDock,5,40,frag=13,1,RMSD<2,je Zug,0.0
SigmaDock,5,40,frag=14,2,RMSD<2,je Zug,0.0
SigmaDock,5,40,alle,307,RMSD<2,nur gnina,32.57
SigmaDock,5,40,frag=1,14,RMSD<2,nur gnina,35.71
SigmaDock,5,40,frag=2,49,RMSD<2,nur gnina,57.14
SigmaDock,5,40,frag=3,52,RMSD<2,nur gnina,46.15
SigmaDock,5,40,frag=4,56,RMSD<2,nur gnina,28.57
SigmaDock,5,40,frag=5,61,RMSD<2,nur gnina,29.51
SigmaDock,5,40,frag=6,25,RMSD<2,nur gnina,24.0
SigmaDock,5,40,frag=7,18,RMSD<2,nur gnina,16.67
SigmaDock,5,40,frag=8,15,RMSD<2,nur gnina,0.0
SigmaDock,5,40,frag=9,8,RMSD<2,nur gnina,0.0
SigmaDock,5,40,frag=10,3,RMSD<2,nur gnina,0.0
SigmaDock,5,40,frag=11,2,RMSD<2,nur gnina,0.0
SigmaDock,5,40,frag=12,1,RMSD<2,nur gnina,0.0
SigmaDock,5,40,frag=13,1,RMSD<2,nur gnina,0.0
SigmaDock,5,40,frag=14,2,RMSD<2,nur gnina,0.0
SigmaDock,5,40,alle,307,RMSD<2,Mixed Score (Paper),25.08
SigmaDock,5,40,frag=1,14,RMSD<2,Mixed Score (Paper),35.71
SigmaDock,5,40,frag=2,49,RMSD<2,Mixed Score (Paper),53.06
SigmaDock,5,40,frag=3,52,RMSD<2,Mixed Score (Paper),32.69
SigmaDock,5,40,frag=4,56,RMSD<2,Mixed Score (Paper),21.43
SigmaDock,5,40,frag=5,61,RMSD<2,Mixed Score (Paper),19.67
SigmaDock,5,40,frag=6,25,RMSD<2,Mixed Score (Paper),8.0
SigmaDock,5,40,frag=7,18,RMSD<2,Mixed Score (Paper),16.67
SigmaDock,5,40,frag=8,15,RMSD<2,Mixed Score (Paper),0.0
SigmaDock,5,40,frag=9,8,RMSD<2,Mixed Score (Paper),0.0
SigmaDock,5,40,frag=10,3,RMSD<2,Mixed Score (Paper),0.0
SigmaDock,5,40,frag=11,2,RMSD<2,Mixed Score (Paper),0.0
SigmaDock,5,40,frag=12,1,RMSD<2,Mixed Score (Paper),0.0
SigmaDock,5,40,frag=13,1,RMSD<2,Mixed Score (Paper),0.0
SigmaDock,5,40,frag=14,2,RMSD<2,Mixed Score (Paper),0.0
SigmaDock,5,40,alle,307,RMSD<2,PB-Filter -> gnina,32.25
SigmaDock,5,40,frag=1,14,RMSD<2,PB-Filter -> gnina,35.71
SigmaDock,5,40,frag=2,49,RMSD<2,PB-Filter -> gnina,55.1
SigmaDock,5,40,frag=3,52,RMSD<2,PB-Filter -> gnina,44.23
SigmaDock,5,40,frag=4,56,RMSD<2,PB-Filter -> gnina,30.36
SigmaDock,5,40,frag=5,61,RMSD<2,PB-Filter -> gnina,29.51
SigmaDock,5,40,frag=6,25,RMSD<2,PB-Filter -> gnina,24.0
SigmaDock,5,40,frag=7,18,RMSD<2,PB-Filter -> gnina,16.67
SigmaDock,5,40,frag=8,15,RMSD<2,PB-Filter -> gnina,0.0
SigmaDock,5,40,frag=9,8,RMSD<2,PB-Filter -> gnina,0.0
SigmaDock,5,40,frag=10,3,RMSD<2,PB-Filter -> gnina,0.0
SigmaDock,5,40,frag=11,2,RMSD<2,PB-Filter -> gnina,0.0
SigmaDock,5,40,frag=12,1,RMSD<2,PB-Filter -> gnina,0.0
SigmaDock,5,40,frag=13,1,RMSD<2,PB-Filter -> gnina,0.0
SigmaDock,5,40,frag=14,2,RMSD<2,PB-Filter -> gnina,0.0
SigmaDock,5,40,alle,307,RMSD<2,Orakel,60.59
SigmaDock,5,40,frag=1,14,RMSD<2,Orakel,92.86
SigmaDock,5,40,frag=2,49,RMSD<2,Orakel,93.88
SigmaDock,5,40,frag=3,52,RMSD<2,Orakel,82.69
SigmaDock,5,40,frag=4,56,RMSD<2,Orakel,67.86
SigmaDock,5,40,frag=5,61,RMSD<2,Orakel,54.1
SigmaDock,5,40,frag=6,25,RMSD<2,Orakel,36.0
SigmaDock,5,40,frag=7,18,RMSD<2,Orakel,22.22
SigmaDock,5,40,frag=8,15,RMSD<2,Orakel,0.0
SigmaDock,5,40,frag=9,8,RMSD<2,Orakel,0.0
SigmaDock,5,40,frag=10,3,RMSD<2,Orakel,0.0
SigmaDock,5,40,frag=11,2,RMSD<2,Orakel,0.0
SigmaDock,5,40,frag=12,1,RMSD<2,Orakel,0.0
SigmaDock,5,40,frag=13,1,RMSD<2,Orakel,0.0
SigmaDock,5,40,frag=14,2,RMSD<2,Orakel,0.0
SigmaDock,5,40,alle,307,PB-valide,je Zug,1.67
SigmaDock,5,40,frag=1,14,PB-valide,je Zug,25.89
SigmaDock,5,40,frag=2,49,PB-valide,je Zug,2.55
SigmaDock,5,40,frag=3,52,PB-valide,je Zug,0.34
SigmaDock,5,40,frag=4,56,PB-valide,je Zug,0.09
SigmaDock,5,40,frag=5,61,PB-valide,je Zug,0.04
SigmaDock,5,40,frag=6,25,PB-valide,je Zug,0.0
SigmaDock,5,40,frag=7,18,PB-valide,je Zug,0.0
SigmaDock,5,40,frag=8,15,PB-valide,je Zug,0.0
SigmaDock,5,40,frag=9,8,PB-valide,je Zug,0.0
SigmaDock,5,40,frag=10,3,PB-valide,je Zug,0.0
SigmaDock,5,40,frag=11,2,PB-valide,je Zug,0.0
SigmaDock,5,40,frag=12,1,PB-valide,je Zug,0.0
SigmaDock,5,40,frag=13,1,PB-valide,je Zug,0.0
SigmaDock,5,40,frag=14,2,PB-valide,je Zug,0.0
SigmaDock,5,40,alle,307,PB-valide,nur gnina,6.19
SigmaDock,5,40,frag=1,14,PB-valide,nur gnina,85.71
SigmaDock,5,40,frag=2,49,PB-valide,nur gnina,14.29
SigmaDock,5,40,frag=3,52,PB-valide,nur gnina,0.0
SigmaDock,5,40,frag=4,56,PB-valide,nur gnina,0.0
SigmaDock,5,40,frag=5,61,PB-valide,nur gnina,0.0
SigmaDock,5,40,frag=6,25,PB-valide,nur gnina,0.0
SigmaDock,5,40,frag=7,18,PB-valide,nur gnina,0.0
SigmaDock,5,40,frag=8,15,PB-valide,nur gnina,0.0
SigmaDock,5,40,frag=9,8,PB-valide,nur gnina,0.0
SigmaDock,5,40,frag=10,3,PB-valide,nur gnina,0.0
SigmaDock,5,40,frag=11,2,PB-valide,nur gnina,0.0
SigmaDock,5,40,frag=12,1,PB-valide,nur gnina,0.0
SigmaDock,5,40,frag=13,1,PB-valide,nur gnina,0.0
SigmaDock,5,40,frag=14,2,PB-valide,nur gnina,0.0
SigmaDock,5,40,alle,307,PB-valide,Mixed Score (Paper),13.03
SigmaDock,5,40,frag=1,14,PB-valide,Mixed Score (Paper),92.86
SigmaDock,5,40,frag=2,49,PB-valide,Mixed Score (Paper),42.86
SigmaDock,5,40,frag=3,52,PB-valide,Mixed Score (Paper),7.69
SigmaDock,5,40,frag=4,56,PB-valide,Mixed Score (Paper),3.57
SigmaDock,5,40,frag=5,61,PB-valide,Mixed Score (Paper),0.0
SigmaDock,5,40,frag=6,25,PB-valide,Mixed Score (Paper),0.0
SigmaDock,5,40,frag=7,18,PB-valide,Mixed Score (Paper),0.0
SigmaDock,5,40,frag=8,15,PB-valide,Mixed Score (Paper),0.0
SigmaDock,5,40,frag=9,8,PB-valide,Mixed Score (Paper),0.0
SigmaDock,5,40,frag=10,3,PB-valide,Mixed Score (Paper),0.0
SigmaDock,5,40,frag=11,2,PB-valide,Mixed Score (Paper),0.0
SigmaDock,5,40,frag=12,1,PB-valide,Mixed Score (Paper),0.0
SigmaDock,5,40,frag=13,1,PB-valide,Mixed Score (Paper),0.0
SigmaDock,5,40,frag=14,2,PB-valide,Mixed Score (Paper),0.0
SigmaDock,5,40,alle,307,PB-valide,PB-Filter -> gnina,16.29
