arm,nfe,complex,n,basis,q0.25@1.0,q0.5@1.0,q1.0@1.0,q0.25@2.0,q0.5@2.0,q1.0@2.0
Minimal,5,1L7F_BCZ,200,True,True,True,True,True,True,False
Minimal,5,1LPZ_CMB,200,True,False,False,False,True,True,True
Minimal,5,1LRH_NLA,200,True,True,True,True,True,True,True
Minimal,5,1M2Z_DEX,200,True,True,True,True,True,True,True
Minimal,5,1MEH_MOA,200,True,False,False,False,False,False,False
Minimal,5,1MMV_3AR,200,True,True,True,True,True,True,False
Minimal,5,1MZC_BNE,200,False,False,False,False,False,False,False
Minimal,5,1N1M_A3M,200,True,True,True,True,True,True,True
Minimal,5,1N2J_PAF,200,True,True,True,True,True,True,True
Minimal,5,1N2V_BDI,200,True,True,True,True,True,True,True
Minimal,5,1N46_PFA,200,True,True,True,True,True,True,True
Minimal,5,1NAV_IH5,200,True,True,True,True,True,True,True
Minimal,5,1OF1_SCT,200,True,True,True,True,True,True,True
Minimal,5,1OF6_DTY,200,True,True,True,True,True,True,True
Minimal,5,1OPK_P16,200,True,True,True,True,True,True,True
Minimal,5,1OQ5_CEL,200,False,False,False,False,False,False,False
Minimal,5,1OWE_675,200,True,True,True,True,True,True,True
Minimal,5,1OYT_FSN,200,True,True,True,True,True,True,True
Minimal,5,1P2Y_NCT,200,False,False,False,False,False,True,False
Minimal,5,1P62_GEO,200,True,True,True,True,False,False,False
Minimal,5,1PMN_984,200,True,True,True,True,True,True,True
Minimal,5,1Q1G_MTI,200,True,True,True,True,True,True,True
Minimal,5,1Q41_IXM,200,True,True,True,True,True,True,True
Minimal,5,1Q4G_BFL,200,True,True,True,True,True,True,True
Minimal,5,1R1H_BIR,200,True,True,True,True,True,True,True
Minimal,5,1R55_097,200,True,True,True,True,True,True,True
Minimal,5,1R58_AO5,200,True,True,True,True,True,True,True
Minimal,5,1R9O_FLP,200,True,True,True,True,False,False,False
Minimal,5,1S19_MC9,200,True,True,True,True,False,True,True
Minimal,5,1S3V_TQD,200,True,True,True,True,True,True,True
Minimal,5,1SG0_STL,200,True,True,True,True,True,True,True
Minimal,5,1SJ0_E4D,200,True,True,True,True,True,True,True
Minimal,5,1SQ5_PAU,200,True,True,True,True,True,True,False
Minimal,5,1SQN_NDR,200,True,True,True,True,True,True,True
Minimal,5,1T40_ID5,200,False,False,False,False,False,False,False
Minimal,5,1T46_STI,200,True,False,False,False,True,True,True
Minimal,5,1T9B_1CS,200,False,False,True,True,True,True,True
