complex,n_frag,arm,nfe,n_posen,trefferquote,n_moden,groesster_modus,groesster_richtig,entropie,abdeckung_richtig,d_zentrum_richtig,d_zentrum_falsch
1OPK_P16,4,SigmaDock,25,40,0.85,3,0.85,True,0.1405,0.85,0.333,0.709
1OPK_P16,4,SigmaDock,5,40,0.1,37,0.075,True,0.9683,0.075,0.858,16.336
1OPK_P16,4,Minimal,25,40,0.525,4,0.525,True,0.2918,0.525,0.294,0.709
1OPK_P16,4,Minimal,5,200,0.645,9,0.615,True,0.205,0.615,0.355,0.759
1OPK_P16,4,Separate,25,40,0.575,4,0.325,True,0.3712,0.325,0.257,0.531
1OPK_P16,4,Separate,5,200,0.66,8,0.335,True,0.27,0.335,0.264,0.64
1OQ5_CEL,5,SigmaDock,25,40,0.45,2,0.55,False,0.1865,0.45,0.317,0.458
1OQ5_CEL,5,SigmaDock,5,40,0.025,38,0.075,False,0.9777,0.025,0.367,11.321
1OQ5_CEL,5,Minimal,25,40,0.575,5,0.55,True,0.2638,0.55,0.486,0.631
1OQ5_CEL,5,Minimal,5,200,0.48,9,0.475,False,0.1924,0.455,0.553,0.713
1OQ5_CEL,5,Separate,25,40,0.3,4,0.65,False,0.2238,0.3,0.394,0.627
1OQ5_CEL,5,Separate,5,200,0.35,10,0.61,False,0.1802,0.33,0.511,0.62
1OWE_675,4,SigmaDock,25,40,1.0,1,1.0,True,-0.0,1.0,0.343,
1OWE_675,4,SigmaDock,5,40,0.075,38,0.075,True,0.9777,0.075,0.508,14.01
1OWE_675,4,Minimal,25,40,0.725,3,0.575,True,0.2106,0.575,0.545,0.865
1OWE_675,4,Minimal,5,200,0.735,12,0.5,True,0.2679,0.5,0.553,1.232
1OWE_675,4,Separate,25,40,0.775,4,0.525,True,0.2567,0.525,0.503,1.029
1OWE_675,4,Separate,5,200,0.835,8,0.605,True,0.1746,0.605,0.425,0.879
1OYT_FSN,4,SigmaDock,25,40,0.975,2,0.95,True,0.0538,0.95,0.502,1.478
1OYT_FSN,4,SigmaDock,5,40,0.1,37,0.1,True,0.9624,0.1,0.808,15.982
1OYT_FSN,4,Minimal,25,40,0.975,2,0.975,True,0.0317,0.975,0.573,0.855
1OYT_FSN,4,Minimal,5,200,0.795,11,0.76,True,0.1803,0.76,0.694,1.044
1OYT_FSN,4,Separate,25,40,0.875,4,0.9,True,0.1163,0.9,0.487,1.059
1OYT_FSN,4,Separate,5,200,0.82,12,0.83,True,0.1496,0.83,0.581,1.169
1P2Y_NCT,2,SigmaDock,25,40,0.2,5,0.3,False,0.42,0.125,0.447,0.858
