satz,arm,nfe,K,ziel,regel,mean,count,prozent
AX85,SigmaFlow-Separate,5,88,both,gnina,0.5252282352941177,85,52.52282352941177
AX85,SigmaFlow-Separate,5,89,both,gnina,0.5250364705882352,85,52.503647058823525
AX85,SigmaFlow-Separate,5,90,both,gnina,0.5248294117647058,85,52.482941176470575
AX85,SigmaFlow-Separate,5,91,both,gnina,0.5247035294117646,85,52.47035294117646
AX85,SigmaFlow-Separate,5,92,both,gnina,0.5245376470588233,85,52.453764705882335
AX85,SigmaFlow-Separate,5,93,both,gnina,0.5243729411764706,85,52.437294117647056
AX85,SigmaFlow-Separate,5,94,both,gnina,0.5242258823529413,85,52.42258823529413
AX85,SigmaFlow-Separate,5,95,both,gnina,0.524114117647059,85,52.411411764705896
AX85,SigmaFlow-Separate,5,96,both,gnina,0.5240447058823529,85,52.404470588235284
AX85,SigmaFlow-Separate,5,97,both,gnina,0.5239647058823529,85,52.39647058823529
AX85,SigmaFlow-Separate,5,98,both,gnina,0.5237905882352941,85,52.37905882352941
AX85,SigmaFlow-Separate,5,99,both,gnina,0.52358,85,52.358000000000004
AX85,SigmaFlow-Separate,5,100,both,gnina,0.523494117647059,85,52.3494117647059
AX85,SigmaFlow-Separate,5,101,both,gnina,0.5234494117647058,85,52.344941176470584
AX85,SigmaFlow-Separate,5,102,both,gnina,0.523315294117647,85,52.3315294117647
AX85,SigmaFlow-Separate,5,103,both,gnina,0.5231070588235294,85,52.310705882352934
AX85,SigmaFlow-Separate,5,104,both,gnina,0.522929411764706,85,52.2929411764706
AX85,SigmaFlow-Separate,5,105,both,gnina,0.5227270588235293,85,52.27270588235293
AX85,SigmaFlow-Separate,5,106,both,gnina,0.5226129411764704,85,52.26129411764704
AX85,SigmaFlow-Separate,5,107,both,gnina,0.5224870588235294,85,52.248705882352944
AX85,SigmaFlow-Separate,5,108,both,gnina,0.5224199999999999,85,52.24199999999999
AX85,SigmaFlow-Separate,5,109,both,gnina,0.5223682352941177,85,52.236823529411765
AX85,SigmaFlow-Separate,5,110,both,gnina,0.5223070588235295,85,52.23070588235294
AX85,SigmaFlow-Separate,5,111,both,gnina,0.5222976470588235,85,52.22976470588235
AX85,SigmaFlow-Separate,5,112,both,gnina,0.5221141176470587,85,52.21141176470587
AX85,SigmaFlow-Separate,5,113,both,gnina,0.521984705882353,85,52.1984705882353
AX85,SigmaFlow-Separate,5,114,both,gnina,0.5218494117647059,85,52.18494117647059
AX85,SigmaFlow-Separate,5,115,both,gnina,0.5217482352941177,85,52.174823529411775
AX85,SigmaFlow-Separate,5,116,both,gnina,0.5216094117647059,85,52.16094117647059
AX85,SigmaFlow-Separate,5,117,both,gnina,0.5215376470588236,85,52.15376470588235
AX85,SigmaFlow-Separate,5,118,both,gnina,0.5213800000000001,85,52.138000000000005
AX85,SigmaFlow-Separate,5,119,both,gnina,0.5212247058823528,85,52.12247058823528
AX85,SigmaFlow-Separate,5,120,both,gnina,0.5211482352941176,85,52.11482352941176
AX85,SigmaFlow-Separate,5,121,both,gnina,0.5210435294117648,85,52.10435294117648
AX85,SigmaFlow-Separate,5,122,both,gnina,0.5209999999999999,85,52.099999999999994
AX85,SigmaFlow-Separate,5,123,both,gnina,0.5209317647058822,85,52.09317647058822
AX85,SigmaFlow-Separate,5,124,both,gnina,0.5207905882352941,85,52.07905882352941
