complex,n_frag,arm,nfe,n_posen,trefferquote,n_moden,groesster_modus,groesster_richtig,entropie,abdeckung_richtig,d_zentrum_richtig,d_zentrum_falsch
8A1H_DLZ,5,Separate,5,200,0.165,8,0.47,False,0.2874,0.185,0.373,0.699
8AIE_M7L,4,SigmaDock,25,40,0.3,3,0.55,True,0.2291,0.55,0.376,0.544
8AIE_M7L,4,SigmaDock,5,40,0.025,37,0.075,False,0.9683,0.025,0.649,9.733
8AIE_M7L,4,Minimal,25,40,0.125,3,0.5,False,0.2148,0.5,0.468,0.686
8AIE_M7L,4,Minimal,5,200,0.155,3,0.525,False,0.1517,0.445,0.498,0.694
8AIE_M7L,4,Separate,25,40,0.425,2,0.65,True,0.1755,0.65,0.419,0.557
8AIE_M7L,4,Separate,5,200,0.355,3,0.635,True,0.1477,0.635,0.383,0.613
8D5D_5DK,7,SigmaDock,25,40,0.1,4,0.825,False,0.171,0.1,0.415,0.43
8D5D_5DK,7,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,9.229
8D5D_5DK,7,Minimal,25,40,0.125,10,0.5,False,0.4453,0.175,0.483,0.894
8D5D_5DK,7,Minimal,5,200,0.12,17,0.59,False,0.2832,0.145,0.591,0.779
8D5D_5DK,7,Separate,25,40,0.45,7,0.525,True,0.3562,0.525,0.441,0.866
8D5D_5DK,7,Separate,5,200,0.345,17,0.465,True,0.2623,0.465,0.511,0.86
8SLG_G5A,5,SigmaDock,25,40,0.975,1,1.0,True,-0.0,1.0,0.263,0.488
8SLG_G5A,5,SigmaDock,5,40,0.05,38,0.075,True,0.9777,0.075,0.387,11.708
8SLG_G5A,5,Minimal,25,40,0.95,1,1.0,True,-0.0,1.0,0.307,0.49
8SLG_G5A,5,Minimal,5,200,0.92,1,1.0,True,-0.0,1.0,0.284,0.269
8SLG_G5A,5,Separate,25,40,0.875,1,1.0,True,-0.0,1.0,0.254,0.494
8SLG_G5A,5,Separate,5,200,0.93,1,1.0,True,-0.0,1.0,0.25,0.446
